final_stage_simple,I,I,I,II,II,II,III,III,III,IV,IV,IV,n_stage_window_hits
stage_time_window,pre_stage,0_to_90,post_90,pre_stage,0_to_90,post_90,pre_stage,0_to_90,post_90,pre_stage,0_to_90,post_90,
provider_number,,,,,,,,,,,,,
2236.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12.0
2244.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12.0
2283.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11.0
2281.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,11.0
2223.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,10.0
2228.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,9.0
2278.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,9.0
2015.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,8.0
2254.0,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.0
2266.0,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,6.0
8094.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,6.0
6062.0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,4.0
7889.0,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,3.0
2268.0,No,No,No,Yes,No,No,No,No,No,No,No,No,1.0
2098.0,No,No,No,No,No,No,No,No,No,No,No,Yes,1.0
2262.0,No,No,No,No,No,No,No,No,No,No,Yes,No,1.0
2246.0,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0
2282.0,No,No,No,No,No,No,No,No,No,No,No,Yes,1.0
2233.0,No,No,No,No,No,No,No,No,No,Yes,No,No,1.0
7689.0,No,No,No,No,No,No,No,No,No,Yes,No,No,1.0
7839.0,No,No,No,No,No,No,Yes,No,No,No,No,No,1.0
7996.0,No,No,No,No,No,No,No,No,Yes,No,No,No,1.0
7997.0,No,No,No,No,No,No,No,No,No,No,No,Yes,1.0
2269.0,No,No,No,No,No,No,No,No,No,Yes,No,No,1.0
