final_stage_simple,I,I,I,II,II,II,III,III,III,IV,IV,IV,n_stage_window_hits
stage_time_window,pre_stage,0_to_90,post_90,pre_stage,0_to_90,post_90,pre_stage,0_to_90,post_90,pre_stage,0_to_90,post_90,
PROC_DESC,,,,,,,,,,,,,
TRASTUZUMAB INJECTION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
"INJECTION, PERTUZUMAB, 1 MG",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
"INJECTION, PEGFILGRASTIM 6MG",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0
CHEMO IV INFUSION 1 HR,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
OFFICE/OUTPATIENT VISIT EST,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0
INJ PEMBROLIZUMAB,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
RADIATION TREATMENT DELIVERY,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0
INSERT TUNNELED CV CATH,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0
"INJ, ADO-TRASTUZUMAB EMT 1MG",0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0
DENOSUMAB INJECTION,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0
PACLITAXEL PROTEIN BOUND,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0
BREAST RECONSTRUCTION,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
LEUPROLIDE ACETATE /3.75 MG,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
BIOPSY/REMOVAL LYMPH NODES,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"INJECTION, FULVESTRANT",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
BX BREAST 1ST LESION US IMAG,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
"INJ, ATEZOLIZUMAB,10 MG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
MAST SIMPLE COMPLETE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ONCOLOGY BREAST MRNA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
PET IMAGE W/CT SKULL-THIGH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
RADIATION THERAPY PLANNING,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
RADIATION TREATMENT AID(S),0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TX/PRO/DX INJ NEW DRUG ADDON,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
HOSPITAL OUTPT CLINIC VISIT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GOSERELIN ACETATE IMPLANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EXTERNAL RADIATION DOSIMETRY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EMERGENCY DEPT VISIT,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PARTIAL MASTECTOMY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CYCLOPHOSPHAMIDE 100 MG INJ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
